dep;sexe;jour;hosp;rea;hosp - rea;rad;dc;dc ehpad;hosp quot;rea quot;rad quot;dc quot;dc ehpad quot;lits réa;hosp off;rea off;rad off;dc off
52;1;18/03/2020;2;0;2;0;0;;2;0;0;0;0;;;;;
52;2;18/03/2020;2;0;2;0;1;;2;0;0;1;0;;;;;
53;0;18/03/2020;4;0;4;2;0;;4;0;2;0;0;;;;;
53;1;18/03/2020;3;0;3;1;0;;3;0;1;0;0;;;;;
53;2;18/03/2020;1;0;1;1;0;;1;0;1;0;0;;;;;
54;0;18/03/2020;42;19;23;1;5;;42;19;1;5;0;;;;;
54;1;18/03/2020;23;13;10;0;2;;23;13;0;2;0;;;;;
54;2;18/03/2020;17;5;12;1;3;;17;5;1;3;0;;;;;
55;0;18/03/2020;11;3;8;0;0;;11;3;0;0;0;;;;;
55;1;18/03/2020;6;1;5;0;0;;6;1;0;0;0;;;;;
55;2;18/03/2020;5;2;3;0;0;;5;2;0;0;0;;;;;
56;0;18/03/2020;39;14;25;63;7;;39;14;63;7;0;;;;;
56;1;18/03/2020;22;10;12;28;5;;22;10;28;5;0;;;;;
56;2;18/03/2020;17;4;13;35;2;;17;4;35;2;0;;;;;
57;0;18/03/2020;169;34;135;11;16;;169;34;11;16;0;;;;;
57;1;18/03/2020;96;26;70;6;7;;96;26;6;7;0;;;;;
57;2;18/03/2020;73;8;65;5;9;;73;8;5;9;0;;;;;
58;0;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
58;1;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
58;2;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
59;0;18/03/2020;106;26;80;16;3;;106;26;16;3;0;;;;;
59;1;18/03/2020;61;19;42;10;2;;61;19;10;2;0;;;;;
59;2;18/03/2020;44;7;37;6;1;;44;7;6;1;0;;;;;
60;0;18/03/2020;94;22;72;18;6;;94;22;18;6;0;;;;;
60;1;18/03/2020;54;16;38;11;3;;54;16;11;3;0;;;;;
